Abomasnow,5,6,494,90,92,75,92,85,60
Abra,11,0,310,25,20,15,105,55,90
Absol,16,0,465,65,130,60,75,60,75
Accelgor,12,0,495,80,70,40,100,60,145
Aegislash,17,14,500,60,50,140,50,140,60
Aerodactyl,13,10,515,80,105,65,60,75,130
Aggron,17,13,530,70,110,180,60,60,50
Aipom,1,0,360,55,70,55,40,55,85
Alakazam,11,0,500,55,50,45,135,95,120
Alcremie,18,0,495,65,60,75,110,121,64
Alomomola,3,0,470,165,75,80,40,45,65
Altaria,15,10,490,75,70,90,70,105,80
Amaura,13,6,362,77,59,50,67,63,46
Ambipom,1,0,482,75,100,66,60,66,115
Amoonguss,5,8,464,114,85,70,85,80,30
Ampharos,4,0,510,90,75,85,115,90,55
Anorith,13,12,355,45,95,50,40,50,75
Appletun,5,15,485,110,85,80,100,80,30
Applin,5,15,260,40,40,80,40,40,20
Araquanid,3,12,454,68,70,92,50,132,42
Arbok,8,0,448,60,95,69,65,79,80
Arcanine,2,0,555,90,110,80,100,80,95
Arceus,1,0,720,120,120,120,120,120,120
Archen,13,10,401,55,112,45,74,45,70
Archeops,13,10,567,75,140,65,112,65,110
Arctovish,3,6,505,90,90,100,80,90,55
Arctozolt,4,6,505,90,100,90,90,80,55
Ariados,12,8,400,70,90,70,60,70,40
Armaldo,13,12,495,75,125,100,70,80,45
Aromatisse,18,0,462,101,72,72,99,89,29
Aron,17,13,330,50,70,100,40,40,30
Arrokuda,3,0,280,41,63,40,40,30,66
Articuno,6,10,580,90,85,100,95,125,85
Audino,1,0,445,103,60,86,60,86,50
Aurorus,13,6,521,123,77,72,99,92,58
Avalugg,6,0,514,95,117,184,44,46,28
Axew,15,0,320,46,87,60,30,40,57
Azelf,11,0,580,75,125,70,125,70,115
Azumarill,3,18,420,100,50,80,60,80,50
Azurill,1,18,190,50,20,40,20,40,20
Bagon,15,0,300,45,75,60,40,30,50
Baltoy,9,11,300,40,40,55,40,70,55
Banette,14,0,455,64,115,65,83,63,65
Barbaracle,13,3,500,72,105,115,54,86,68
Barboach,3,9,288,50,48,43,46,41,60
Barraskewda,3,0,490,61,123,60,60,50,136
Bastiodon,13,17,495,60,52,168,47,138,30
Bayleef,5,0,405,60,62,80,63,80,60
Beartic,6,0,505,95,130,80,70,80,50
Beautifly,12,10,395,60,70,50,100,50,65
Beedrill,12,8,395,65,90,40,45,80,75
Beheeyem,11,0,485,75,75,75,125,95,40
Beldum,17,11,300,40,55,80,35,60,30
Bellossom,5,0,490,75,80,95,90,100,50
Bellsprout,5,8,300,50,75,35,70,30,40
Bergmite,6,0,304,55,69,85,32,35,28
Bewear,1,7,500,120,125,80,55,60,60
Bibarel,1,3,410,79,85,60,55,60,71
Bidoof,1,0,250,59,45,40,35,40,31
Binacle,13,3,306,42,52,67,39,56,50
Bisharp,16,17,490,65,125,100,60,70,70
Blacephalon,2,14,570,53,127,53,151,79,107
Blastoise,3,0,530,79,83,100,85,105,78
Blaziken,2,7,530,80,120,70,110,70,80
Blipbug,12,0,180,25,20,20,25,45,45
Blissey,1,0,540,255,10,10,75,135,55
Blitzle,4,0,295,45,60,32,50,32,76
Boldore,13,0,390,70,105,105,50,40,20
Boltund,4,0,490,69,90,60,90,60,121
Bonsly,13,0,290,50,80,95,10,45,10
Bouffalant,1,0,490,95,110,95,40,95,55
Bounsweet,5,0,210,42,30,38,30,38,32
Braixen,2,0,409,59,59,58,90,70,73
Braviary,1,10,510,100,123,75,57,75,80
Breloom,5,7,460,60,130,80,60,60,70
Brionne,3,0,420,60,69,69,91,81,50
Bronzong,17,11,500,67,89,116,79,116,33
Bronzor,17,11,300,57,24,86,24,86,23
Bruxish,3,11,475,68,105,70,70,70,92
Budew,5,8,280,40,30,35,50,70,55
Buizel,3,0,330,55,65,35,60,30,85
Bulbasaur,5,8,318,45,49,49,65,65,45
Buneary,1,0,350,55,66,44,44,56,85
Bunnelby,1,0,237,38,36,38,32,36,57
Burmy,12,0,224,40,29,45,29,45,36
Butterfree,12,10,395,60,45,50,90,80,70
Buzzwole,12,7,570,107,139,139,53,53,79
Cacnea,5,0,335,50,85,40,85,40,35
Cacturne,5,16,475,70,115,60,115,60,55
Camerupt,2,9,460,70,100,70,105,75,40
Carbink,13,18,500,50,50,150,50,150,50
Carkol,13,2,410,80,60,90,60,70,50
Carnivine,5,0,454,74,100,72,90,72,46
Carracosta,3,13,495,74,108,133,83,65,32
Carvanha,3,16,305,45,90,20,65,20,65
Cascoon,12,0,205,50,35,55,25,25,15
Castform,1,0,420,70,70,70,70,70,70
Caterpie,12,0,195,45,30,35,20,20,45
Celebi,11,5,600,100,100,100,100,100,100
Celesteela,17,10,570,97,101,103,107,101,61
Centiskorch,2,12,525,100,115,65,90,90,65
Chandelure,14,2,520,60,55,90,145,90,80
Chansey,1,0,450,250,5,5,35,105,50
Charizard,2,10,534,78,84,78,109,85,100
Charjabug,12,4,400,57,82,95,55,75,36
Charmander,2,0,309,39,52,43,60,50,65
Charmeleon,2,0,405,58,64,58,80,65,80
Chatot,1,10,411,76,65,45,92,42,91
Cherrim,5,0,450,70,60,70,87,78,85
Cherubi,5,0,275,45,35,45,62,53,35
Chesnaught,5,7,530,88,107,122,74,75,64
Chespin,5,0,313,56,61,65,48,45,38
Chewtle,3,0,284,50,64,50,38,38,44
Chikorita,5,0,318,45,49,65,49,65,45
Chimchar,2,0,309,44,58,44,58,44,61
Chimecho,11,0,455,75,50,80,95,90,65
Chinchou,3,4,330,75,38,38,56,56,67
Chingling,11,0,285,45,30,50,65,50,45
Cinccino,1,0,470,75,95,60,65,60,115
Cinderace,2,0,530,80,116,75,65,75,119
Clamperl,3,0,345,35,64,85,74,55,32
Clauncher,3,0,330,50,53,62,58,63,44
Clawitzer,3,0,500,71,73,88,120,89,59
Claydol,9,11,500,60,70,105,70,120,75
Clefable,18,0,483,95,70,73,95,90,60
Clefairy,18,0,323,70,45,48,60,65,35
Cleffa,18,0,218,50,25,28,45,55,15
Clobbopus,7,0,310,50,68,60,50,50,32
Cloyster,3,6,525,50,95,180,85,45,70
Coalossal,13,2,510,110,80,120,80,90,30
Cobalion,17,7,580,91,90,129,90,72,108
Cofagrigus,14,0,483,58,50,145,95,105,30
Combee,12,10,244,30,30,42,30,42,70
Combusken,2,7,405,60,85,60,85,60,55
Comfey,18,0,485,51,52,90,82,110,100
Conkeldurr,7,0,505,105,140,95,55,65,45
Copperajah,17,0,500,122,130,69,80,69,30
Corphish,3,0,308,43,80,65,50,35,35
Corsola,3,13,410,65,55,95,65,95,35
Corviknight,10,17,495,98,87,105,53,85,67
Corvisquire,10,0,365,68,67,55,43,55,77
Cosmoem,11,0,400,43,29,131,29,131,37
Cosmog,11,0,200,43,29,31,29,31,37
Cottonee,5,18,280,40,27,60,37,50,66
Crabominable,7,6,478,97,132,77,62,67,43
Crabrawler,7,0,338,47,82,57,42,47,63
Cradily,13,5,495,86,81,97,81,107,43
Cramorant,10,3,475,70,85,55,85,95,85
Cranidos,13,0,350,67,125,40,30,30,58
Crawdaunt,3,16,468,63,120,85,90,55,55
Cresselia,11,0,600,120,70,120,75,130,85
Croagunk,8,7,300,48,61,40,61,40,50
Crobat,8,10,535,85,90,80,70,80,130
Croconaw,3,0,405,65,80,80,59,63,58
Crustle,12,13,485,70,105,125,65,75,45
Cryogonal,6,0,515,80,50,50,95,135,105
Cubchoo,6,0,305,55,70,40,60,40,40
Cubone,9,0,320,50,50,95,40,50,35
Cufant,17,0,330,72,80,49,40,49,40
Cursola,14,0,510,60,95,50,145,130,30
Cutiefly,12,18,304,40,45,40,55,40,84
Darkrai,16,0,600,70,90,90,135,90,125
Darmanitan,2,11,540,105,30,105,140,105,55
Dartrix,5,10,420,78,75,75,70,70,52
Darumaka,2,0,315,70,90,45,15,45,50
Decidueye,5,14,530,78,107,75,100,100,70
Dedenne,4,18,431,67,58,57,81,67,101
Deerling,1,5,335,60,60,50,40,50,75
Deino,16,15,300,52,65,50,45,50,38
Delcatty,1,0,400,70,65,65,55,55,90
Delibird,6,10,330,45,55,45,65,45,75
Delphox,2,11,534,75,69,72,114,100,104
Dewgong,3,6,475,90,70,80,70,95,70
Dewott,3,0,413,75,75,60,83,60,60
Dewpider,3,12,269,38,40,52,40,72,27
Dhelmise,14,5,517,70,131,100,86,90,40
Dialga,17,15,680,100,120,120,150,100,90
Diancie,13,18,600,50,100,150,100,150,50
Diggersby,1,9,423,85,56,77,50,77,78
Diglett,9,0,265,10,55,25,35,45,95
Ditto,1,0,288,48,48,48,48,48,48
Dodrio,1,10,470,60,110,70,60,60,110
Doduo,1,10,310,35,85,45,35,35,75
Donphan,9,0,500,90,120,120,60,60,50
Dottler,12,11,335,50,35,80,50,90,30
Doublade,17,14,448,59,110,150,45,49,35
Dracovish,3,15,505,90,90,100,70,80,75
Dracozolt,4,15,505,90,100,90,80,70,75
Dragalge,8,15,494,65,75,90,97,123,44
Dragapult,15,14,600,88,120,75,100,75,142
Dragonair,15,0,420,61,84,65,70,70,70
Dragonite,15,10,600,91,134,95,100,100,80
Drakloak,15,14,410,68,80,50,60,50,102
Drampa,1,15,485,78,60,85,135,91,36
Drapion,8,16,500,70,90,110,60,75,95
Dratini,15,0,300,41,64,45,50,50,50
Drednaw,3,13,485,90,115,90,48,68,74
Dreepy,15,14,270,28,60,30,40,30,82
Drifblim,14,10,498,150,80,44,90,54,80
Drifloon,14,10,348,90,50,34,60,44,70
Drilbur,9,0,328,60,85,40,30,45,68
Drizzile,3,0,420,65,60,55,95,55,90
Drowzee,11,0,328,60,48,45,43,90,42
Druddigon,15,0,485,77,120,90,60,90,48
Dubwool,1,0,490,72,80,100,60,90,88
Ducklett,3,10,305,62,44,50,44,50,55
Dugtrio,9,0,425,35,100,50,50,70,120
Dunsparce,1,0,415,100,70,70,65,65,45
Duosion,11,0,370,65,40,50,125,60,30
Duraludon,17,15,535,70,95,115,120,50,85
Durant,12,17,484,58,109,112,48,48,109
Dusclops,14,0,455,40,70,130,60,130,25
Dusknoir,14,0,525,45,100,135,65,135,45
Duskull,14,0,295,20,40,90,30,90,25
Dustox,12,8,385,60,50,70,50,90,65
Dwebble,12,13,325,50,65,85,35,35,55
Eelektrik,4,0,405,65,85,70,75,70,40
Eelektross,4,0,515,85,115,80,105,80,50
Eevee,1,0,325,55,55,50,45,65,55
Ekans,8,0,288,35,60,44,40,54,55
Eldegoss,5,0,460,60,50,90,80,120,60
Electabuzz,4,0,490,65,83,57,95,85,105
Electivire,4,0,540,75,123,67,95,85,95
Electrike,4,0,295,40,45,40,65,40,65
Electrode,4,0,490,60,50,70,80,80,150
Elekid,4,0,360,45,63,37,65,55,95
Elgyem,11,0,335,55,55,55,85,55,30
Emboar,2,7,528,110,123,65,100,65,65
Emolga,4,10,428,55,75,60,75,60,103
Empoleon,3,17,530,84,86,88,111,101,60
Entei,2,0,580,115,115,85,90,75,100
Escavalier,12,17,495,70,135,105,60,105,20
